Address,Varies,P1,P2
0x0258,No,0x00,0x00
0x0259,No,0x00,0x00
0x025A,No,0x00,0x00
0x025B,No,0x00,0x00
0x025C,No,0x01,0x01
0x025D,No,0x00,0x00
0x025E,No,0x00,0x00
0x025F,No,0x00,0x00
0x0260,No,0x00,0x00
0x0261,No,0x00,0x00
0x0262,No,0x03,0x03
0x0263,No,0x00,0x00
0x0264,No,0x00,0x00
0x0268,No,0x00,0x00
0x0269,No,0x00,0x00
0x026A,No,0x00,0x00
0x026B,No,0x00,0x00
0x026C,No,0x00,0x00
0x026D,No,0x00,0x00
0x026E,No,0x00,0x00
0x026F,No,0x00,0x00
0x0270,No,0x00,0x00
0x0271,No,0x00,0x00
0x0272,No,0x00,0x00
0x028A,No,0x00,0x00
0x028B,No,0x00,0x00
0x028C,No,0x00,0x00
0x028D,No,0x00,0x00
0x028E,No,0x00,0x00
0x028F,No,0x00,0x00
0x0290,No,0x00,0x00
0x0291,No,0x00,0x00
0x0294,Yes,0xC0,0x90
0x0296,No,0x02,0x02
0x0297,No,0x02,0x02
0x0299,No,0x02,0x02
0x029D,Yes,0xFA,0x19
0x029E,No,0x01,0x01
0x029F,No,0x00,0x00
0x02A9,Yes,0xCC,0x66
0x02AA,Yes,0x04,0x02
0x02AB,No,0x00,0x00
0x02B7,No,0xFF,0xFF
0x0302,No,0x00,0x00
0x0303,No,0x00,0x00
0x0304,No,0x00,0x00
0x0305,No,0x80,0x80
0x0306,No,0x05,0x05
0x0307,No,0x00,0x00
0x0308,No,0x00,0x00
0x0309,No,0x00,0x00
0x030A,No,0x00,0x00
0x030B,No,0x80,0x80
0x030C,No,0x00,0x00
0x030D,No,0x00,0x00
0x030E,No,0x00,0x00
0x030F,No,0x00,0x00
0x0310,Yes,0x71,0xEC
0x0311,Yes,0x0A,0x0D
0x0312,No,0x00,0x00
0x0313,No,0x00,0x00
0x0314,Yes,0x00,0xF0
0x0315,Yes,0x24,0x0A
0x0316,Yes,0xF4,0xAF
0x0317,No,0x00,0x00
0x0318,No,0x00,0x00
0x0319,No,0x00,0x00
0x031A,No,0x00,0x00
0x031B,Yes,0xF6,0x71
0x031C,Yes,0x06,0x0A
0x031D,No,0x00,0x00
0x031E,No,0x00,0x00
0x031F,Yes,0xF0,0x00
0x0320,Yes,0x0A,0x24
0x0321,Yes,0xAF,0xF4
0x0322,No,0x00,0x00
0x0323,No,0x00,0x00
0x0324,No,0x00,0x00
0x0325,No,0x00,0x00
0x0326,Yes,0x80,0x82
0x0327,Yes,0x28,0x13
0x0328,No,0x00,0x00
0x0329,No,0x00,0x00
0x032A,No,0x00,0x00
0x032B,Yes,0x24,0x00
0x032C,Yes,0xF4,0xFF
0x032D,No,0x00,0x00
0x032E,No,0x00,0x00
0x032F,No,0x00,0x00
0x0330,No,0x00,0x00
0x0331,Yes,0x82,0x00
0x0332,Yes,0x13,0x00
0x0333,No,0x00,0x00
0x0334,No,0x00,0x00
0x0335,No,0x00,0x00
0x0336,No,0x00,0x00
0x0337,Yes,0xFF,0x00
0x0338,No,0x00,0x00
0x0339,No,0x1F,0x1F
0x033B,No,0x00,0x00
0x033C,No,0x00,0x00
0x033D,No,0x00,0x00
0x033E,No,0x00,0x00
0x033F,No,0x00,0x00
0x0340,No,0x00,0x00
0x0341,No,0x00,0x00
0x0342,No,0x00,0x00
0x0343,No,0x00,0x00
0x0344,No,0x00,0x00
0x0345,No,0x00,0x00
0x0346,No,0x00,0x00
0x0347,No,0x00,0x00
0x0348,No,0x00,0x00
0x0349,No,0x00,0x00
0x034A,No,0x00,0x00
0x034B,No,0x00,0x00
0x034C,No,0x00,0x00
0x034D,No,0x00,0x00
0x034E,No,0x00,0x00
0x034F,No,0x00,0x00
0x0350,No,0x00,0x00
0x0351,No,0x00,0x00
0x0352,No,0x00,0x00
0x0353,No,0x00,0x00
0x0354,No,0x00,0x00
0x0355,No,0x00,0x00
0x0356,No,0x00,0x00
0x0357,No,0x00,0x00
0x0358,No,0x00,0x00
0x0359,No,0x00,0x00
0x035A,No,0x00,0x00
0x035B,No,0x00,0x00
0x035C,No,0x00,0x00
0x035D,No,0x00,0x00
0x035E,No,0x00,0x00
0x035F,No,0x00,0x00
0x0360,No,0x00,0x00
0x0361,No,0x00,0x00
0x0362,No,0x00,0x00
0x0487,No,0x00,0x00
0x0508,Yes,0x14,0x13
0x0509,Yes,0x22,0x25
0x050A,Yes,0x0D,0x09
0x050B,Yes,0x0C,0x08
0x050C,Yes,0x01,0x3F
0x050D,No,0x3F,0x3F
0x050E,Yes,0x18,0x14
0x050F,Yes,0x2C,0x29
0x0510,Yes,0x09,0x08
0x0511,Yes,0x08,0x07
0x0512,Yes,0x01,0x3F
0x0513,No,0x3F,0x3F
0x0515,No,0x00,0x00
0x0516,No,0x00,0x00
0x0517,No,0x00,0x00
0x0518,No,0x00,0x00
0x0519,No,0xC0,0xC0
0x051A,No,0x02,0x02
0x051B,No,0x00,0x00
0x051C,No,0x00,0x00
0x051D,No,0x00,0x00
0x051E,No,0x00,0x00
0x051F,No,0x80,0x80
0x0521,No,0x2B,0x2B
0x052A,No,0x01,0x01
0x052B,No,0x01,0x01
0x052C,No,0x87,0x87
0x052D,No,0x03,0x03
0x052E,No,0x19,0x19
0x052F,No,0x19,0x19
0x0531,No,0x00,0x00
0x0532,No,0x5A,0x5A
0x0533,No,0x03,0x03
0x0534,No,0x00,0x00
0x0535,No,0x00,0x00
0x0536,No,0x04,0x04
0x0537,No,0x00,0x00
0x0538,No,0x00,0x00
0x0539,No,0x00,0x00
0x053A,No,0x02,0x02
0x053B,No,0x03,0x03
0x053C,No,0x00,0x00
0x053D,Yes,0x12,0x0E
0x053E,No,0x06,0x06
0x0589,No,0x0D,0x0D
0x058A,No,0x00,0x00
0x059B,No,0xFA,0xFA
0x059D,Yes,0x14,0x13
0x059E,Yes,0x24,0x27
0x059F,Yes,0x0D,0x09
0x05A0,Yes,0x0C,0x08
0x05A1,Yes,0x01,0x3F
0x05A2,No,0x3F,0x3F
0x05A6,No,0x0B,0x0B
0x0802,No,0x35,0x35
0x0803,No,0x05,0x05
0x0804,No,0x00,0x00
0x0805,No,0x00,0x00
0x0806,No,0x00,0x00
0x0807,No,0x00,0x00
0x0808,No,0x00,0x00
0x0809,No,0x00,0x00
0x080A,No,0x00,0x00
0x080B,No,0x00,0x00
0x080C,No,0x00,0x00
0x080D,No,0x00,0x00
0x080E,No,0x00,0x00
0x080F,No,0x00,0x00
0x0810,No,0x00,0x00
0x0811,No,0x00,0x00
0x0812,No,0x00,0x00
0x0813,No,0x00,0x00
0x0814,No,0x00,0x00
0x0815,No,0x00,0x00
0x0816,No,0x00,0x00
0x0817,No,0x00,0x00
0x0818,No,0x00,0x00
0x0819,No,0x00,0x00
0x081A,No,0x00,0x00
0x081B,No,0x00,0x00
0x081C,No,0x00,0x00
0x081D,No,0x00,0x00
0x081E,No,0x00,0x00
0x081F,No,0x00,0x00
0x0820,No,0x00,0x00
0x0821,No,0x00,0x00
0x0822,No,0x00,0x00
0x0823,No,0x00,0x00
0x0824,No,0x00,0x00
0x0825,No,0x00,0x00
0x0826,No,0x00,0x00
0x0827,No,0x00,0x00
0x0828,No,0x00,0x00
0x0829,No,0x00,0x00
0x082A,No,0x00,0x00
0x082B,No,0x00,0x00
0x082C,No,0x00,0x00
0x082D,No,0x00,0x00
0x082E,No,0x00,0x00
0x082F,No,0x00,0x00
0x0830,No,0x00,0x00
0x0831,No,0x00,0x00
0x0832,No,0x00,0x00
0x0833,No,0x00,0x00
0x0834,No,0x00,0x00
0x0835,No,0x00,0x00
0x0836,No,0x00,0x00
0x0837,No,0x00,0x00
0x0838,No,0x00,0x00
0x0839,No,0x00,0x00
0x083A,No,0x00,0x00
0x083B,No,0x00,0x00
0x083C,No,0x00,0x00
0x083D,No,0x00,0x00
0x083E,No,0x00,0x00
0x083F,No,0x00,0x00
0x0840,No,0x00,0x00
0x0841,No,0x00,0x00
0x0842,No,0x00,0x00
0x0843,No,0x00,0x00
