Address,Varies,P1,P2,P3
0x0131,No,0x09,0x09,0x09
0x0132,No,0x3B,0x3B,0x3B
0x0133,No,0x2B,0x2B,0x2B
0x0134,No,0x04,0x04,0x04
0x013A,No,0x02,0x02,0x02
0x013B,No,0x09,0x09,0x09
0x013C,No,0x3B,0x3B,0x3B
0x013D,No,0x2B,0x2B,0x2B
0x013E,No,0x04,0x04,0x04
0x013F,No,0x00,0x00,0x00
0x0140,No,0x00,0x00,0x00
0x0141,No,0x40,0x40,0x40
0x0142,No,0xFF,0xFF,0xFF
0x0206,No,0x00,0x00,0x00
0x0208,No,0x71,0x71,0x71
0x0209,No,0x02,0x02,0x02
0x020A,No,0x00,0x00,0x00
0x020B,No,0x00,0x00,0x00
0x020C,No,0x00,0x00,0x00
0x020D,No,0x00,0x00,0x00
0x020E,No,0x01,0x01,0x01
0x020F,No,0x00,0x00,0x00
0x0210,No,0x00,0x00,0x00
0x0211,No,0x00,0x00,0x00
0x0212,No,0x71,0x71,0x71
0x0213,No,0x02,0x02,0x02
0x0214,No,0x00,0x00,0x00
0x0215,No,0x00,0x00,0x00
0x0216,No,0x00,0x00,0x00
0x0217,No,0x00,0x00,0x00
0x0218,No,0x01,0x01,0x01
0x0219,No,0x00,0x00,0x00
0x021A,No,0x00,0x00,0x00
0x021B,No,0x00,0x00,0x00
0x021C,No,0xE6,0xE6,0xE6
0x021D,No,0x01,0x01,0x01
0x021E,No,0x00,0x00,0x00
0x021F,No,0x00,0x00,0x00
0x0220,No,0x00,0x00,0x00
0x0221,No,0x00,0x00,0x00
0x0222,No,0x01,0x01,0x01
0x0223,No,0x00,0x00,0x00
0x0224,No,0x00,0x00,0x00
0x0225,No,0x00,0x00,0x00
0x0226,No,0xE6,0xE6,0xE6
0x0227,No,0x01,0x01,0x01
0x0228,No,0x00,0x00,0x00
0x0229,No,0x00,0x00,0x00
0x022A,No,0x00,0x00,0x00
0x022B,No,0x00,0x00,0x00
0x022C,No,0x01,0x01,0x01
0x022D,No,0x00,0x00,0x00
0x022E,No,0x00,0x00,0x00
0x022F,No,0x00,0x00,0x00
0x0231,No,0x0B,0x0B,0x0B
0x0232,No,0x0B,0x0B,0x0B
0x0233,No,0x0B,0x0B,0x0B
0x0234,No,0x0B,0x0B,0x0B
0x0235,No,0x00,0x00,0x00
0x0236,No,0x00,0x00,0x00
0x0237,No,0x00,0x00,0x00
0x0238,Yes,0xA0,0x80,0x80
0x0239,Yes,0x8C,0x93,0x93
0x023A,No,0x00,0x00,0x00
0x023B,No,0x00,0x00,0x00
0x023C,No,0x00,0x00,0x00
0x023D,No,0x00,0x00,0x00
0x023E,No,0x80,0x80,0x80
0x024A,Yes,0x03,0x02,0x02
0x024B,No,0x00,0x00,0x00
0x024C,No,0x00,0x00,0x00
0x0250,Yes,0x00,0x05,0x05
0x0251,No,0x00,0x00,0x00
0x0252,No,0x00,0x00,0x00
0x0253,No,0x03,0x03,0x03
0x0254,No,0x00,0x00,0x00
0x0255,No,0x00,0x00,0x00
0x0256,No,0x00,0x00,0x00
0x0257,No,0x00,0x00,0x00
0x0258,No,0x00,0x00,0x00
0x025C,No,0x03,0x03,0x03
0x025D,No,0x00,0x00,0x00
0x025E,No,0x00,0x00,0x00
0x025F,No,0x00,0x00,0x00
0x0260,No,0x00,0x00,0x00
0x0261,No,0x00,0x00,0x00
0x0262,No,0x03,0x03,0x03
0x0263,No,0x00,0x00,0x00
0x0264,No,0x00,0x00,0x00
0x0268,No,0x15,0x15,0x15
0x0269,No,0x00,0x00,0x00
0x026A,No,0x00,0x00,0x00
0x026B,No,0x00,0x00,0x00
0x026C,No,0x00,0x00,0x00
0x026D,No,0x00,0x00,0x00
0x026E,No,0x00,0x00,0x00
0x026F,No,0x00,0x00,0x00
0x0270,No,0x00,0x00,0x00
0x0271,No,0x00,0x00,0x00
0x0272,No,0x00,0x00,0x00
0x028A,No,0x00,0x00,0x00
0x028B,No,0x00,0x00,0x00
0x028C,No,0x00,0x00,0x00
0x028D,No,0x00,0x00,0x00
0x028E,No,0x00,0x00,0x00
0x028F,No,0x00,0x00,0x00
0x0290,No,0x00,0x00,0x00
0x0291,No,0x00,0x00,0x00
0x0294,Yes,0xCC,0xCD,0xCD
0x0295,No,0xCC,0xCC,0xCC
0x0296,No,0x0F,0x0F,0x0F
0x0297,No,0x0F,0x0F,0x0F
0x0299,No,0x0F,0x0F,0x0F
0x029A,Yes,0xFA,0x19,0x19
0x029B,No,0x01,0x01,0x01
0x029C,No,0x00,0x00,0x00
0x029D,No,0xFA,0xFA,0xFA
0x029E,No,0x01,0x01,0x01
0x029F,No,0x00,0x00,0x00
0x02A0,No,0xFA,0xFA,0xFA
0x02A1,No,0x01,0x01,0x01
0x02A2,No,0x00,0x00,0x00
0x02A3,No,0xFA,0xFA,0xFA
0x02A4,No,0x01,0x01,0x01
0x02A5,No,0x00,0x00,0x00
0x02A6,Yes,0xCC,0x66,0x66
0x02A7,Yes,0x04,0x02,0x02
0x02A8,No,0x00,0x00,0x00
0x02A9,No,0xCC,0xCC,0xCC
0x02AA,No,0x04,0x04,0x04
0x02AB,No,0x00,0x00,0x00
0x02AC,No,0xCC,0xCC,0xCC
0x02AD,No,0x04,0x04,0x04
0x02AE,No,0x00,0x00,0x00
0x02AF,No,0xCC,0xCC,0xCC
0x02B0,No,0x04,0x04,0x04
0x02B1,No,0x00,0x00,0x00
0x02B7,No,0xFF,0xFF,0xFF
0x0302,No,0x00,0x00,0x00
0x0303,No,0x00,0x00,0x00
0x0304,No,0x00,0x00,0x00
0x0305,Yes,0x00,0x86,0x86
0x0306,Yes,0x09,0x0B,0x0B
0x0307,No,0x00,0x00,0x00
0x0308,No,0x00,0x00,0x00
0x0309,Yes,0x00,0xC2,0x3E
0x030A,Yes,0x00,0x6A,0x6A
0x030B,Yes,0xDC,0xC9,0xC9
0x030C,No,0x00,0x00,0x00
0x030D,No,0x00,0x00,0x00
0x030E,No,0x00,0x00,0x00
0x030F,No,0x00,0x00,0x00
0x0310,Yes,0xCA,0x38,0x38
0x0311,Yes,0x08,0x09,0x09
0x0312,No,0x00,0x00,0x00
0x0313,No,0x00,0x00,0x00
0x0314,No,0x00,0x00,0x00
0x0315,No,0x0E,0x0E,0x0E
0x0316,No,0xE0,0xE0,0xE0
0x0317,No,0x00,0x00,0x00
0x0318,No,0x00,0x00,0x00
0x0319,No,0x00,0x00,0x00
0x031A,Yes,0x80,0xC0,0xC0
0x031B,Yes,0x1A,0x33,0x33
0x031C,Yes,0x06,0x07,0x07
0x031D,No,0x00,0x00,0x00
0x031E,No,0x00,0x00,0x00
0x031F,No,0x00,0x00,0x00
0x0320,No,0x00,0x00,0x00
0x0321,Yes,0x90,0xA2,0xA2
0x0322,No,0x00,0x00,0x00
0x0323,No,0x00,0x00,0x00
0x0324,No,0x00,0x00,0x00
0x0325,No,0x00,0x00,0x00
0x0326,Yes,0xD0,0x38,0x38
0x0327,Yes,0x07,0x09,0x09
0x0328,No,0x00,0x00,0x00
0x0329,No,0x00,0x00,0x00
0x032A,No,0x00,0x00,0x00
0x032B,No,0x00,0x00,0x00
0x032C,Yes,0xB0,0xC6,0xC6
0x032D,No,0x00,0x00,0x00
0x0338,No,0x00,0x00,0x00
0x033B,No,0x00,0x00,0x00
0x033C,No,0x00,0x00,0x00
0x033D,No,0x00,0x00,0x00
0x033E,No,0x00,0x00,0x00
0x033F,No,0x00,0x00,0x00
0x0340,No,0x00,0x00,0x00
0x0341,No,0x00,0x00,0x00
0x0342,No,0x00,0x00,0x00
0x0343,No,0x00,0x00,0x00
0x0344,No,0x00,0x00,0x00
0x0345,No,0x00,0x00,0x00
0x0346,No,0x00,0x00,0x00
0x0347,No,0x00,0x00,0x00
0x0348,No,0x00,0x00,0x00
0x0349,No,0x00,0x00,0x00
0x034A,No,0x00,0x00,0x00
0x034B,No,0x00,0x00,0x00
0x034C,No,0x00,0x00,0x00
0x034D,No,0x00,0x00,0x00
0x034E,No,0x00,0x00,0x00
0x034F,No,0x00,0x00,0x00
0x0350,No,0x00,0x00,0x00
0x0351,No,0x00,0x00,0x00
0x0352,No,0x00,0x00,0x00
0x0408,No,0x10,0x10,0x10
0x0409,No,0x1E,0x1E,0x1E
0x040A,Yes,0x0D,0x0E,0x0E
0x040B,Yes,0x0C,0x0D,0x0D
0x040C,No,0x07,0x07,0x07
0x040D,No,0x07,0x07,0x07
0x040E,Yes,0x14,0x15,0x15
0x040F,Yes,0x28,0x2A,0x2A
0x0410,No,0x09,0x09,0x09
0x0411,No,0x08,0x08,0x08
0x0412,No,0x07,0x07,0x07
0x0413,No,0x07,0x07,0x07
0x0415,No,0x00,0x00,0x00
0x0416,No,0x00,0x00,0x00
0x0417,Yes,0x00,0x78,0x88
0x0418,Yes,0x48,0x05,0xE6
0x0419,Yes,0xF1,0x35,0x34
0x041A,Yes,0x3E,0x2F,0x2F
0x041B,No,0x00,0x00,0x00
0x041C,No,0x00,0x00,0x00
0x041D,No,0x00,0x00,0x00
0x041E,No,0x00,0x00,0x00
0x041F,No,0x80,0x80,0x80
0x0421,No,0x3B,0x3B,0x3B
0x0422,No,0x01,0x01,0x01
0x0423,No,0x00,0x00,0x00
0x0424,No,0x00,0x00,0x00
0x0425,No,0x00,0x00,0x00
0x0426,No,0x00,0x00,0x00
0x0427,No,0x00,0x00,0x00
0x0428,No,0x00,0x00,0x00
0x0429,No,0x00,0x00,0x00
0x042A,No,0x00,0x00,0x00
0x042B,No,0x01,0x01,0x01
0x042C,No,0x87,0x87,0x87
